dataset,epsilon,model,accuracy_mean,accuracy_std,n_runs,mia_attack_acc,time,Winner
Digits,0.5,Non-private GB,0.9014814814814814,0.010203686899226584,10,,,DP-GB wins
Digits,0.5,DP-GB One-Ball,0.5383333333333333,0.06184214827409384,10,,0.0028831958770751953,DP-GB wins
Digits,0.5,DP-GB Multi-Ball,0.27037037037037037,0.06601014179883107,10,,,DP-GB wins
Digits,0.5,DP-k-means,0.12296296296296297,0.035603748203600766,10,,,DP-GB wins
Digits,0.5,DP-Logistic,0.08092592592592593,0.006781419786518726,10,,,DP-GB wins
Digits,0.5,DP-Naive Bayes,0.1287037037037037,0.03680715696492841,10,,,DP-GB wins
Digits,0.5,DP-kNN (k=5),0.15666666666666668,0.014749857593881388,10,,,DP-GB wins
Digits,1.0,Non-private GB,0.9014814814814814,0.010203686899226584,10,,,DP-GB wins
Digits,1.0,DP-GB One-Ball,0.8166666666666668,0.026423791084054748,10,,0.0028831958770751953,DP-GB wins
Digits,1.0,DP-GB Multi-Ball,0.4533333333333333,0.04261513091281136,10,,,DP-GB wins
Digits,1.0,DP-k-means,0.10185185185185183,1.3877787807814457e-17,10,,,DP-GB wins
Digits,1.0,DP-Logistic,0.08018518518518519,0.005241100628920336,10,,,DP-GB wins
Digits,1.0,DP-Naive Bayes,0.13999999999999999,0.029701302202727122,10,,,DP-GB wins
Digits,1.0,DP-kNN (k=5),0.23759259259259258,0.01398240124519457,10,,,DP-GB wins
Digits,2.0,Non-private GB,0.9014814814814814,0.010203686899226584,10,,,DP-GB wins
Digits,2.0,DP-GB One-Ball,0.8868518518518519,0.013236531317413642,10,,0.0028831958770751953,DP-GB wins
Digits,2.0,DP-GB Multi-Ball,0.5712962962962963,0.025556226507563645,10,,,DP-GB wins
Digits,2.0,DP-k-means,0.10351851851851852,0.004417355719213544,10,,,DP-GB wins
Digits,2.0,DP-Logistic,0.09444444444444444,0.007075915990571407,10,,,DP-GB wins
Digits,2.0,DP-Naive Bayes,0.19333333333333333,0.06980867445243882,10,,,DP-GB wins
Digits,2.0,DP-kNN (k=5),0.4564814814814815,0.017612074982385952,10,,,DP-GB wins
MNIST,0.1,Non-private GB,0.7958333333333334,0.009316949906249112,10,0.5625,,DP-kNN wins
MNIST,0.1,DP-GB One-Ball,0.1095,0.0016749792701868118,10,0.5625,0.012511014938354492,DP-kNN wins
MNIST,0.1,DP-GB Multi-Ball,0.10500000000000001,0.004346134936801764,10,0.5625,,DP-kNN wins
MNIST,0.1,DP-k-means,0.11699999999999999,0.011590225767142472,10,0.5625,,DP-kNN wins
MNIST,0.1,DP-Logistic,0.06183333333333334,0.005024937810560446,10,0.5625,,DP-kNN wins
MNIST,0.1,DP-Naive Bayes,0.11233333333333333,0.02207562758639793,10,0.5625,,DP-kNN wins
MNIST,0.1,DP-kNN (k=5),0.10533333333333332,0.00648930744464393,10,0.5625,,DP-kNN wins
MNIST,0.5,Non-private GB,0.7958333333333334,0.009316949906249112,10,0.5625,,DP-kNN wins
MNIST,0.5,DP-GB One-Ball,0.15633333333333332,0.03745960787598053,10,0.5625,0.012511014938354492,DP-kNN wins
MNIST,0.5,DP-GB Multi-Ball,0.11433333333333333,0.015726834816113932,10,0.5625,,DP-kNN wins
MNIST,0.5,DP-k-means,0.12983333333333336,0.03019795798835852,10,0.5625,,DP-kNN wins
MNIST,0.5,DP-Logistic,0.058666666666666666,0.006359594676112971,10,0.5625,,DP-kNN wins
MNIST,0.5,DP-Naive Bayes,0.10700000000000001,0.03735564809295168,10,0.5625,,DP-kNN wins
MNIST,0.5,DP-kNN (k=5),0.14733333333333334,0.0082731157639939,10,0.5625,,DP-kNN wins
MNIST,1.0,Non-private GB,0.7958333333333334,0.009316949906249112,10,0.5625,,DP-kNN wins
MNIST,1.0,DP-GB One-Ball,0.2626666666666667,0.058747103947532776,10,0.5625,0.012511014938354492,DP-kNN wins
MNIST,1.0,DP-GB Multi-Ball,0.1398333333333333,0.03085314678710531,10,0.5625,,DP-kNN wins
MNIST,1.0,DP-k-means,0.11766666666666666,0.01412641340027806,10,0.5625,,DP-kNN wins
MNIST,1.0,DP-Logistic,0.0605,0.006193634725354017,10,0.5625,,DP-kNN wins
MNIST,1.0,DP-Naive Bayes,0.092,0.02286190426597633,10,0.5625,,DP-kNN wins
MNIST,1.0,DP-kNN (k=5),0.22816666666666668,0.016422376333662694,10,0.5625,,DP-kNN wins
MNIST,2.0,Non-private GB,0.7958333333333334,0.009316949906249112,10,0.5625,,DP-kNN wins
MNIST,2.0,DP-GB One-Ball,0.5883333333333334,0.03099283071220753,10,0.5625,0.012511014938354492,DP-kNN wins
MNIST,2.0,DP-GB Multi-Ball,0.36816666666666664,0.026462237244798483,10,0.5625,,DP-kNN wins
MNIST,2.0,DP-k-means,0.11950000000000001,0.01840968947773608,10,0.5625,,DP-kNN wins
MNIST,2.0,DP-Logistic,0.06999999999999999,0.0072648315725677886,10,0.5625,,DP-kNN wins
MNIST,2.0,DP-Naive Bayes,0.10016666666666667,0.019082423559099847,10,0.5625,,DP-kNN wins
MNIST,2.0,DP-kNN (k=5),0.41483333333333333,0.017786542978080685,10,0.5625,,DP-kNN wins
Fashion-MNIST,0.1,Non-private GB,0.6995,0.02175686354029714,10,,,DP-kNN wins
Fashion-MNIST,0.1,DP-GB One-Ball,0.10700000000000001,0.0029627314724385316,10,,0.012571096420288086,DP-kNN wins
Fashion-MNIST,0.1,DP-GB Multi-Ball,0.10400000000000001,0.005587684871413404,10,,,DP-kNN wins
Fashion-MNIST,0.1,DP-k-means,0.24,0.041116366030518256,10,,,DP-kNN wins
Fashion-MNIST,0.1,DP-Logistic,0.06916666666666667,0.004232808366400099,10,,,DP-kNN wins
Fashion-MNIST,0.1,DP-Naive Bayes,0.09733333333333334,0.042825226210727714,10,,,DP-kNN wins
Fashion-MNIST,0.1,DP-kNN (k=5),0.10799999999999998,0.010349449797506686,10,,,DP-kNN wins
Fashion-MNIST,0.5,Non-private GB,0.6995,0.02175686354029714,10,,,DP-kNN wins
Fashion-MNIST,0.5,DP-GB One-Ball,0.19733333333333336,0.06455918903524803,10,,0.012571096420288086,DP-kNN wins
Fashion-MNIST,0.5,DP-GB Multi-Ball,0.176,0.06947501549318127,10,,,DP-kNN wins
Fashion-MNIST,0.5,DP-k-means,0.2368333333333333,0.02533607441311038,10,,,DP-kNN wins
Fashion-MNIST,0.5,DP-Logistic,0.06883333333333333,0.0044752405273658525,10,,,DP-kNN wins
Fashion-MNIST,0.5,DP-Naive Bayes,0.09316666666666666,0.026272609310839298,10,,,DP-kNN wins
Fashion-MNIST,0.5,DP-kNN (k=5),0.14183333333333334,0.015063753405664432,10,,,DP-kNN wins
Fashion-MNIST,1.0,Non-private GB,0.6995,0.02175686354029714,10,,,DP-kNN wins
Fashion-MNIST,1.0,DP-GB One-Ball,0.44349999999999995,0.06514279187548944,10,,0.012571096420288086,DP-kNN wins
Fashion-MNIST,1.0,DP-GB Multi-Ball,0.356,0.071153980133854,10,,,DP-kNN wins
Fashion-MNIST,1.0,DP-k-means,0.2145,0.029145706754550013,10,,,DP-kNN wins
Fashion-MNIST,1.0,DP-Logistic,0.0635,0.005449260908090605,10,,,DP-kNN wins
Fashion-MNIST,1.0,DP-Naive Bayes,0.08483333333333334,0.026556543449779,10,,,DP-kNN wins
Fashion-MNIST,1.0,DP-kNN (k=5),0.20483333333333334,0.012166666666666668,10,,,DP-kNN wins
Fashion-MNIST,2.0,Non-private GB,0.6995,0.02175686354029714,10,,,DP-kNN wins
Fashion-MNIST,2.0,DP-GB One-Ball,0.6501666666666667,0.028071832462056655,10,,0.012571096420288086,DP-kNN wins
Fashion-MNIST,2.0,DP-GB Multi-Ball,0.4795,0.03819576765384702,10,,,DP-kNN wins
Fashion-MNIST,2.0,DP-k-means,0.21833333333333335,0.0259379601699474,10,,,DP-kNN wins
Fashion-MNIST,2.0,DP-Logistic,0.06016666666666667,0.007433034373659251,10,,,DP-kNN wins
Fashion-MNIST,2.0,DP-Naive Bayes,0.11316666666666668,0.023786667600896844,10,,,DP-kNN wins
Fashion-MNIST,2.0,DP-kNN (k=5),0.37333333333333335,0.01795054935711501,10,,,DP-kNN wins
